Link,Text
https://economictimes.indiatimes.com/news/international/us/disney-marathon-how-to-register-and-qualify-check-dates-and-entry-fee/articleshow/106458777.cms,"If you have made a promise to take part in a marathon, Walt Disney World offers you the perfect opportunity for that, giving vacation vibes at the same time. According to Adam Ball, the Vice president of Disney Water Parks and ESPN Wide World of Sports, runDisney, Walt Disney aims to create an enjoyable, memorable experience and a supportive environment. Everybody is there to provide care to each other, right from the cast to the participants.

What is runDisney marathon?
runDisney is the destination race series of Disney. The races taking place at Disneyland and Disney World are very famous and are sold out within a few minutes of the opening of registration.

All through the year, there are six on-field events which are the new Disneyland Halloween Half Marathon, making its debut this fall. Each live event features several races with courses that take the participants through parks and further.

Disney attempts to provide a race appealing to anybody whether they want to be running 26 miles or walking a 5K.

Fans who cannot go to the parks can also avail virtual races. There are two virtual events – the runDisney Virtual 12Ks of Christmas and the runDisney Virtual Series.

How to qualify for the Disney marathon?
Anyone of age 18 years and beyond is qualified for the Disney marathon registration. As per Adam Ball, some people have never run and some come to set a new personal record.

For participation, there are no qualifying time limits, but evidence of time is essential for higher starting placement for participants expecting to complete in below four hours and 30 minutes.

All the participants are required to maintain a speed of 16 minutes per mile for all on-field Disney races. A smaller group of volunteers who are known colloquially as the balloon ladies, keep that speed, carrying the rear with balloons as visual signs. There are pace cyclists as well. The participants unable to maintain pace might be dragged and relocated to the area of family reunion.

Cost of running a Disney Marathon
The registration charge for Walt Disney’s World Marathon, 2024 is $221. This is less than the entry fee of $230 for the Boston Marathon of 2023, the $295 entry fee for the TCS New York City Marathon, and the $240 entry fee for the Bank of America Chicago Marathon.

It is greater than the first entry fee of the Honolulu Marathon, 2024, which was $128 for the initial 100 participants.

What is to be added to the budget is the cost of a Disney vacation where many visit the place for an entire trip wearing their race shirts and medals, which are there along with the registration fee.

Registration Dates for runDisney2024
The Walt Disney World Marathon Weekend dates are Jan 4 -7, 2024. Live races are sold out.
2025 dates are Jan 8-12. This April, general registration is opening
The races are the half marathon, marathon, 10K, 5K, Dopey Challenge (all four races), and Goofy challenge (half + marathon).
Dates for Disneyland Half Marathon Weekend, 2024: Jan 11- 14. Live races are sold out.
Dates for 2025: Jan 30 – Feb 2. This June general registration is opening.
The races are Kids races, half marathons, Disney Fairytale Challenge (10K + half), 10k, 5K

What does the Disney Marathon constitute?
Disney Marathon on-field events offer opportunities for live entertainment and meeting Disney characters on the race course, along with the chance to run through Disney parks which is liked by most participants.

FAQs:
What is runDisney?
runDisney is the destination race series of Disney. The races taking place at Disneyland and Disney World are very famous and are sold out within a few minutes of the opening of registration. The Walt Disney World Marathon Weekend dates are Jan 4 -7, 2024.

What is the cost of running a Disney Marathon?
The registration charge for Walt Disney’s World Marathon, 2024 is $221. This is less than the entry fee of $230 for the Boston Marathon of 2023 and others


(You can now subscribe to our Economic Times WhatsApp channel)"
https://economictimes.indiatimes.com/industry/telecom/telecom-news/bharti-airtel-services-to-acquire-97-1-stake-in-beetel-teletech/articleshow/106458918.cms,"Bharti Airtel Services, a wholly-owned subsidiary of Bharti Airtel, has entered into an agreement for the acquisition of 49.45 lakh shares or 97.1 per cent stake in Beetel Teletech, another Bharti Group company, according to a filing. Pegging the cost of acquisition at Rs 669 crore, the filing said this acquisition is a part of the company's strategy to enable indigenisation initiatives within its own ecosystem of telecom products in line with the Government's policy of 'Make In India' and add distribution and service capabilities (including system integration) largely for the enterprise business.

""...as a part of group restructuring, Bharti Airtel Services Limited, a wholly-owned subsidiary company of Bharti Airtel Limited has entered into an agreement for acquisition of 49,45,239 equity shares representing 97.1 per cent stake in another Bharti Group company, Beetel Teletech Limited, which also has 49 per cent stake in Joint Venture having two manufacturing facilities which produce telecom and networking products including those qualifying for Production Linked Incentive (PLI) Scheme,"" the filing said adding that this is a cash transaction.

Consequently, Beetel will become a subsidiary of the company.

The acquisition is a related party transaction in terms of the provisions of SEBI listing regulations. Bharti Group companies namely Bharti Enterprises (Holding) Private Limited, Bharti (RM) Holdings Private Limited, Bharti (RBM) Holdings Private Limited and Bharti (LM) Enterprises Private Limited hold 97.1 per cent stake in Beetel.

Beetel Teletech was incorporated on March 30, 1999.

On the strength of its in-house technical capabilities, relationship with global OEMs and channel composing of a large number of channel partners, distributors and retailers, it is engaged in designing and delivering technical solutions and services and distributing a wide range of products from IT peripherals, network and enterprise solutions to fixed landlines and mobile accessories.

Beetel distributes a host of leading brands including Avaya, HP/Poly, Samsung, Siemens, QSC, RADWIN, Ruckus, RAD, ADVA, and Actelis.

Beetel also holds 49 per cent stake in a Joint Venture which has two facilities for manufacturing of landlines, telecom and networking products including products that are manufactured in compliance with the 'Production Linked Incentive (PLI) Scheme to Promote Telecom and Networking Products Manufacturing in India' notified by the Ministry of Communications, the BSE filing added.


(You can now subscribe to our Economic Times WhatsApp channel)"
https://economictimes.indiatimes.com/news/international/us/fallout-76-nuke-codes-launch-site-locations-heres-what-you-may-want-to-know/articleshow/106459102.cms,"Fallout 76 allows players to deploy nuclear weapons against adversaries, transforming settlements into radioactive ruins. However, launching nukes involves specific steps, starting with seizing Launch Sites and acquiring weekly-changing Nuke Codes.

Understanding Fallout 76 Nuke Codes
Nuke Codes are essential inputs at Fallout 76 Nuke Sites to authorize missile launches. The aftermath yields high-level enemies and improved loot opportunities, albeit in a hazardous irradiated zone. Strategic preparation is crucial to navigate the dangers of nuclear fallout.

How to Input Nuke Codes in Fallout 76?
Before using Nuke Codes, players must complete main quests, join the Enclave Faction, and finish the ""I am Become Death"" quest. Obtaining Nuclear Keycards, eliminating enemies in silo dungeons, and entering Nuke Codes are subsequent steps. Three launch sites – Alpha, Bravo, and Charlie – await activation.

Current Fallout 76 Nuke Codes - January 1, 2023
Alpha: 44646696
Bravo: 44002093
Charlie: 22098388

Locate the Nuclear Launch Sites in Fallout 76
Each launch site corresponds to an area on the map. Alpha resides in Savage Divide's middle, Bravo is south of the Palace of the Winding Path, and Charlie is near the Savage Divide's bottom.

Weekly Nuke Codes
Given the weekly change in Nuke Codes, players must stay informed to maximize their strategic advantage in Fallout 76. Regularly check for the latest codes to unleash destruction and seize opportunities in the post-nuclear landscape.

FAQs:
How often do Fallout 76 Nuke Codes change, and why is it important for players to stay updated?
Fallout 76 Nuke Codes change weekly. Staying updated is crucial for strategic gameplay as the evolving codes impact missile launch authorization.

What precautions should players take before using Nuke Codes in Fallout 76, considering the aftermath of nuclear blasts?
Players must enter well-equipped, prepared for radiation. Nuclear blasts spawn higher-level enemies and better loot opportunities but transform locations into hazardous danger zones, inflicting intangible damage.


(You can now subscribe to our Economic Times WhatsApp channel)"
https://economictimes.indiatimes.com/news/international/us/is-retirement-on-your-list-in-2024-here-are-details-about-taxes-you-should-know/articleshow/106459029.cms,"It is a misconception that retirees do not need to be worried about taxes, whereas taxes can pose a significant burden for senior citizens, as retired people have a fixed income compelling them to spend thoughtfully.

In case your retirement is in the year 2024, it is essential that you become conscious about taxes as well as know the recent rules and regulations on the same.

Here are some important things to consider during your retirement:
Earned income can be contributed to an IRA for a tax break

The fact that you are planning to retire in 2024, does not translate to you not working at all.

Moreover, many retirees work in whichever way possible to stay occupied and get additional income. In case you are opting for this way, you will get a chance to make your contribution towards a traditional IRA.

By taking this method, you can avoid paying taxes on that income. Contributing to an IRA has no age limit but you have to give a part of your earned income.

However, if you are getting benefits from Social Security, this cannot be contributed to an IRA, as Social Security is regarded as income for taxes and not income that is earned.

On the other hand, if you are working in any job which includes a freelance gig, that income becomes eligible for an IRA.

A Roth conversion before retirement could be beneficial
If all of your savings are in a traditional IRA, it should be brought to your awareness that once you start making withdrawals, you will be facing taxes on the money you remove from your account. Not only that but eventually, you'll be forced to take the required minimum distributions.

Before your retirement, it will be beneficial if you convert a part of the traditional IRA to a Roth IRA, as those withdrawals are devoid of tax and also do not compel you to make withdrawals from your balance every year.

You are required to be very mindful while undertaking a conversion as the outcome can be a huge tax bill for you. It's best to talk to a financial adviser and accountant for the same.

Two states will no longer be putting taxes on Social Security
Social Security has the power to be taxed at the federal level and whether you will be paying those taxes on your benefits will depend on your earnings. However, it is taxed by several states.

In 2024, Missouri and Nebraska will no longer be taxing Social Security.

FAQs:
Can earned income be contributed to an IRA?
Many retirees work to keep themselves occupied and get additional income. In case you are opting for this way, you will get a chance to make your contribution towards a traditional IRA. By taking this method, you can avoid paying taxes on that income.

Which are the two states no longer putting taxes on Social Security?
Social Security has the power to be taxed at the federal level and whether you will be paying those taxes on your benefits will depend on your earnings. In 2024, Missouri and Nebraska will no longer be taxing Social Security.


(You can now subscribe to our Economic Times WhatsApp channel)"
https://economictimes.indiatimes.com/opinion/et-commentary/raise-a-glass-to-gift-city-why-the-recent-amendment-to-the-teetotaller-mandate-is-a-gamechanger-in-the-dry-state/articleshow/106458664.cms,"“You get hot piping dosas in at least 5 places in Singapore, and if you are feeling low, you can go to your neighbourhood temple and pray,"" a private banker to several of our billionaires once told me once what really moved the needle and transformed the city state into the favourite global suburb.

With Gujarat International Finance Tec-City (GIFT IFSCA) Prime Minister Narendra Modi is seeking to recreate a Singapore by the Sabarmati -- Integrate Indian financial markets with international capital flows. A global nerve centre for new-age financial and technology services, as he put it to delegates recently, even when we had a thriving hub in Mumbai, an obvious choice, with both pre-existing infrastructure and talent, that had even allocated space which today sadly is going to be a terminus for the Bullet Train.

The decision to allow serving of inside the City premises, even with multiple fine prints, in a dry state like Gujarat will certainly lift the spirits of everyone who aspires to be work, live and play in this 15-year old free market oasis that already boasts of 580 operational entities, including 3 exchanges like international bullion exchange, 25 banks, with 9 foreign banks, 29 insurance entities, 2 foreign universities, and over 50 professional services providers, consulting, law, CA firms but no night life.

This should ideally be followed up with a relaxed liquor regimen across the state to boost , a cornerstone of the double engine BJP government.

Take a leaf out of Dubai which also an international financial centre like New York, Shanghai, Shenzhen, San Fran, London or Tokyo. It ended its 30% tax on alcohol sales in the sheikhdom on January 1 2023 and made its required liquor licenses free to obtain to further boost tourism. Over the years it has been relaxing rules over booze in the city state to allow sale of liquor even during the day in Ramazan, providing home delivery since Corona lockdown.

Smart businesses in the beginning of the 17th century set sail for London or Amsterdam. Their Asian outposts, Calcutta ( now Kolkata) and Manila were recognised as hubs in a growing network of European commerce, which have since lost its lustre. The 20th century saw the rise of New York City. And at the beginning of the 21st century, both trade and capital found a way to reach the southernmost tip of the Malay Peninsular - to the city state of Singapore, coinciding with the commensurate rise of Asia as the fastest growing economic bloc with thriving new global finance centers like Hong Kong, Shanghai and Singapore. But Hong Kong has become an Orwellian dystopia under Beijing’s authoritarianism and London’s pull out from the European bloc dulled its deal making prowess making both bustling metropolises but lesser international financial centres.

You can be drawn in by low tax rates, a deep reservoir of private banking talent, credible trust laws that aid inheritance planning and regulatory governance and lends credibility that rival Switzerland and other traditional centres that were the default jurisdictions for the high net worth individuals from around the world and even India but beyond the Singapore sling, penthouses and skyscrapers, jaw dropping rents, swanky airport connectivity, busiest trans-shipment and tax treaties, what really makes the difference is its cosmopolitan ethos and the quality of life. I call it the Dosa doctrine. Global spotlight on Swiss and Dubai banks have further propelled its position as the Switzerland of Asia but without the black money.



Regulators are key to creating an atmosphere where finance can flourish. A deep capital markets and banking services are obvious handmaidens. Both makes it easier to become a hub for wealth created elsewhere in the globe to be managed and invested. The establishment of the International Centres Authority as a unified regulator in 2020 has been a key milestone in ’s evolution. IFSCA has formulated 27 and more than 10 frameworks, opening up new avenues for investment. Within the 886 acres between Ahmedabad, the state’s biggest city and its capital Gandhinagar, bankers have cumulatively handled transactions worth $508 billion till July 2023; with total banking assets stood at $41.20 billion, and cumulative derivative transactions booked by banks were worth $632 billion.

Global think tank Z/Yen partners, which compiles an index of financial centres, looks at five areas of competitiveness: business environment, human capital, infrastructure, financial-sector development and reputation. Each segment is further split into four underlying buckets to deduce a final score for each city. New York tops that list in 2023, Mumbai a dismal 61, GIFT-CITY 67, below Madrid, Wellington, Chendu and even Casablanca.

Gujarat’s Canary Wharf may offer district cooling, an energy-efficient air conditioning system, as well as central waste, water and electricity management but that does not make it liveable. Bank of America, HSBC, JP Morgan, ICICI Bank may occupy glass and chrome skyscrapers that have risen from backwoods. But that will not help in talent migration. Schools would. Chic diners and modern healthcare in close proximity will make the City liveable.

By amending the teetotaller mandate – in place with greater rigidity in the state after it was created out of the erstwhile Bombay state in 1960, as a mark of respect to Mahatma Gandhi, the Father of the Nation and a Gujarati and fierce critic of the vice – Gift City will finally be able to woo young talent and ensure the project’s success. Around the world, liquor lubricates many finance deals. It all boils down to the after hours.

Remember the private banker who loves Singapore. He also said: “I cannot think of a vegetarian joint I can go for dinner in Hong Kong's central business district..”"
https://economictimes.indiatimes.com/opinion/et-editorial/when-psus-start-to-flex-their-muscles/articleshow/106458665.cms,"Investors have bought enthusiastically in India's public sector and have been rewarded handsomely for their efforts. Public sector enterprises are leading the market capitalisation sweepstakes on specific government policies, and the expectation of policy continuity is fanning the exuberance. NTPC and Coal India have benefited from India's stand at climate talks that coal should not be singled out among fossil fuels for cutback commitments. LIC is in the process of transferring a slice of its profits to investors after listing. IRFC and REC are direct fallouts of GoI's bumped-up capital expenditure in railways and electrification. IOC improved its refining margins on easing crude oil prices, a process aided by New Delhi's decision to buy discounted Russian crude in circumvention of a Western blockade.

Beyond these top wealth creators, the overall performance of the pack of listed in 2023 is a validation of the government's economic management as well as its execution through state-owned enterprises. Alongside, incremental reforms in governance are helping close the valuation gap of PSUs with their private sector rivals. The third factor in play is GoI's stated intention of trimming its ownership in PSUs to promote efficiency. Investor expectations over languid disinvestment are being built up by their reading of the outcome of general elections later this year.

Investor behaviour has changed dramatically from much of India's reform experience since the 1990s when the accepted wisdom was to bet against state enterprise. The private sector led in productivity gains in sectors where state monopolies were being dismantled and built investor wealth. It would, however, be too early to read a turnaround in PSU productivity. Some of the PSU valuation increase is due to self-limiting causes like government capex and credit-funded consumption. The current bout of investor interest can feed a wider divestment pipeline with better exit prices for the government and improved market-led governance of PSUs."
https://economictimes.indiatimes.com/opinion/et-editorial/india-infrantic-the-faster-roads-ahead/articleshow/106458721.cms,"The time it takes to travel - people or goods - tells its own story. The average travel speed on highways in the US is over 100 kmph. In China, it is 90 kmph. In India, it is a paltry 47 kmph. But plans are afoot to push this figure up to 85 kmph on the national highway (NH) network. The ministry of road transport and highways plans to construct and expand approximately 41,000 km of NHs, including 15,000 km of high-speed, access-controlled corridors, by the fiscal 2031-32. Two critical aspects of the plan: one, decongesting highways in and around cities; two, building high-speed corridors (HSCs). India has 3,900 km of HSCs. This may go up to 11,000 km by 2026-27. GoI will be spending ₹19.5 lakh crore on this much-welcome upgrade.

Other than making travel for all less time-consuming, increased speeds on NHs could bring down the logistics cost to 9-10% of GDP from 13-14%. In countries such as Singapore and the US, the logistics cost is 8% or lower. This new plan also segues well with the planned rollout of 400 semi-high-speed, medium-distance Vande Bharat trains, 220 new airports, and doubling port capacity to 3,000 mtpa. Investments in EVs, solar, wind and hydrogen will pick up.

Overall, India is expected to spend $143 trillion on infrastructure between fiscals 2024 and 2030, more than twice the $67 trillion spent in the past seven financial years from 2017. Crisil expects India's GDP to grow at an average of 6.7% through FY2031, and rise in per-capita income from $2,500 to 4,500 by FY2031, creating a middle-income country. Infrastructure development, with a sharp focus on integrating sustainability, will be the key driver of growth. Yet, infra push is not just about creating megastructures. Watch out for its ripple effects."
https://economictimes.indiatimes.com/opinion/bliss-of-everyday-life/listening-to-imagine/articleshow/106458758.cms,"'You may say I'm a dreamer/ But I'm not the only one.' Listening to these words mixed with the music in John Lennon's 'Imagine' (rb.gy/m8ha3k) melts away much canker and cynicism, even if for the duration of this timeless song. The pleasure of listening to 'Imagine' is that of tasting Utopia - you know it is impossible, unreal, even foolish, and yet....

The song's simplicity creates a strange stitch that resonates with the human spirit even as one realises how ungraspable it is. Which is not a bad thing at all. And that is the very joy you derive out of it.

Barriers between people dissolve, and a world of unity and peace emerges for the duration of the song. Lennon's words evoke a sense of collective yearning for a better world.

The purity of his message and the sincerity in his delivery tug at the heartstrings - which he himself found to be 'too saccharine' at times - fostering a connection that goes beyond mere auditory stimulation. The iconic piano riff and Lennon's distinctive voice linger in the mind well after we return to the real world."
https://economictimes.indiatimes.com/opinion/et-commentary/demonstrating-democracy-the-2024-poll-cycle-is-a-strategic-opportunity-that-can-provide-india-leverage/articleshow/106458689.cms,"The strategic value of an election process has never been higher than now. And the manner in which this process plays out may just prove to be the unique differentiator among democracies as a significant clutch of democratic countries, including India and the US, go into polls this year. But why is this of any strategic consequence?


Democracies have been under stress in most top G20 countries, largely due to deep internal fissures that have polarised the polity. Election results are not easily accepted, margins are getting thinner, and threat of post-election violence, especially after what happened on Capitol Hill in January 2021, remains high. This has adversely affected global standing democratic powers, including the US, as they grapple with domestic challenges.


As a fallout, global institutions are under strain. The churn within democracies has allowed more space to autocratic and communist countries. The China-Russia combine has split the UN Security Council, almost rendering it ineffective. Other financial and multilateral institutions are experiencing a similar strain as the power balance tilts away from democracies.


In this vacuum, new rules of engagement have come into play. The general consensus is not to precipitate matters to a point that it might negatively impact the improving economic growth picture. However, countries are now willing to take risks against rules that structured the order and assert their influence - Russia against Ukraine, China against a UN tribunal award in the Philippines, Turkey in Azerbaijan, and renewed terrorism against Israel and its blowback.

Upheaval within powerful democracies has consequentially altered their hold and sway over international institutions. So, what's working are bilateral deals and informal groupings through which regular transactions occur. And they can prove to be effective, like the way in which the US is seeking to influence the West Asia situation by delivering the hard message to Iran and simultaneously working through formal and informal channels with other Arab nations.

The unwritten understanding is to not let oil prices soar, keep global inflation under check, and the Strait of Hormuz functional. The conflict is not dying down, just like in the Russia-Ukraine theatre, where again management through diplomatic and intelligence channels is just about holding up the bigger global picture within the frame than any real political progress being made on a way out/forward.

In this backdrop, a that is able to conduct a credible, acceptable election process will undoubtedly send out a strong political signal. India, on this score, is on a slightly different footing from other democracies. A lot of this has to do with its switch to EVMs, increasing voter participation, and its Election Commission persisting with the shift despite several challenges over two decades.

Elections alone are not a barometer of democracy. However, for a country once constantly criticised on rigged elections, to boast of turnout percentages in the 65-75% range, with rapidly improving numbers among women, is quite different to the general cynicism elsewhere. Governments have changed hands from Congress to BJP, and in states among regional parties, pointing to the robustness of the process.

That said, a lot more work needs to be done on pre-election violence, transparency in electoral spending and maintaining a higher standard electoral decorum. Given the heft at stake, the Indian election management system is positioned well to make a power statement on this score.

Why is this important? The health of the election process will provide a strong footing to whichever be the next government on the global stage. This is a unique situation. But in the backdrop of how the frittering of this process has weakened mature democracies, its strategic value cannot be overemphasised.

In the current environment, it will allow India better positioning to work on its own calculated risk agenda. The current practice, given the overall political flux, is for better positioned countries to take the risk by pushing the boundaries on a controversial agenda and then backing themselves to deal with the fallout. Barring players like Hamas, most traditional powers like China, Russia and Turkey have sought to move on these lines, though they have differed in intensity and method.

India, arguably, has done the same with the abrogation of Article 370. The international fallout was way more manageable in the prevailing environment than in the past. And, in this context, the holding of elections in Jammu and Kashmir could, by itself, prove to be an even stronger message on the credence of India's electoral process and plans ahead.

Finally, there's the issue of governance. Elections cannot leave societies divided permanently. A fair conduct of the process opens the space for a new government to heal the damage caused by scathing debates and campaigns during the election season.

The inclusion process usually happens through fair, non-discriminatory governance models, which go a long way in sealing the democracy statement within the initial few months. Let's not forget, the season of elections will continue in India beyond the , with special focus on how it evolves in Jammu and Kashmir.

Therefore, the 2024 election cycle is a strategic opportunity that, by itself, could provide significant leverage - an aspect that must remain thoroughly in sight for all stakeholders."
https://economictimes.indiatimes.com/news/india/two-fresh-covid-cases-in-uttarakhand/articleshow/106458401.cms,"Dehradun: Two fresh COVID-19 cases were recorded in Uttarakhand over the weekend, officials said on Monday. A 77-year-old man tested positive for COVID-19 at Max Hospital on Saturday and a 72-year-old woman tested positive at Doon Hospital on Sunday, Health Secretary Rajesh Kumar said.

Their samples have been sent for genome sequencing to ascertain if they have been infected by the JN.1 variant of COVID-19, he said.

The man, who was undergoing treatment for other ailments at Max Hospital, has been discharged and is under home isolation. He is under the observation of a medical team and his condition is improving, Kumar said.

The woman who tested positive at Doon Hospital has been shifted to the Covid ward, he said.

Kumar asserted the health department is fully prepared for Covid management and there is no cause for concern.

All district magistrates, chief medical officers and medical superintendents have been asked to remain alert, he said.


(You can now subscribe to our Economic Times WhatsApp channel)"
